,Title,Year,AltTitleList
108,Das Pressen der Metalle (Nichteisenmetalle),1930,Das Pressen der Metalle (Nichteisenmetalle)
109,Das Rohrnetz städtischer Wasserwerke,1930,Das Rohrnetz städtischer Wasserwerke
110,Das Sägen der Metalle,1930,Das Sägen der Metalle
111,Das Sägen der Metalle,1930,Das Sägen der Metalle
112,Das Sogenannte Periphere Herz,1930,Das Sogenannte Periphere Herz
113,Das Sogenannte Periphere Herz,1930,Das Sogenannte Periphere Herz
114,Das Tiefdruckverfahren unter besonderer Berücksichtigung der Maßnahmen zur Vermeidung von Schädigungen bei seiner Verwendung,1930,Das Tiefdruckverfahren unter besonderer Berücksichtigung der Maßnahmen zur Vermeidung von Schädigungen bei seiner Verwendung
115,Das Tiefdruckverfahren unter besonderer Berücksichtigung der Maßnahmen zur Vermeidung von Schädigungen bei seiner Verwendung,1930,Das Tiefdruckverfahren unter besonderer Berücksichtigung der Maßnahmen zur Vermeidung von Schädigungen bei seiner Verwendung
116,Das Wunder der Menschengeburt,1930,Das Wunder der Menschengeburt
117,Der Appendicitische Anfall Seine Ätiologie und Pathogenese,1930,Der Appendicitische Anfall Seine Ätiologie und Pathogenese
118,Der Aufbau des Mörtels und des Betons,1930,Der Aufbau des Mörtels und des Betons
119,Der Binger Wald,1930,Der Binger Wald
120,Der Boden als Oberste Schicht der Erdoberfläche,1930,Der Boden als Oberste Schicht der Erdoberfläche
121,Der Boden als oberste Schicht der Erdoberfläche,1930,Der Boden als oberste Schicht der Erdoberfläche
122,Der Einphasen-Bahnmotor,1930,Der Einphasen-Bahnmotor
123,Der praktische Kaufmann / Bd. 1 = Teil 1. Buchführung,1930,Der praktische Kaufmann / Bd.  = Teil . Buchführung
124,"Der praktische Kaufmann / Bd. 2 = Teil 2/3. Handelsbriefwechsel, Wechsellehre, u.s.w.; Gesetzeskunde",1930,"Der praktische Kaufmann / Bd.  = Teil /. Handelsbriefwechsel, Wechsellehre, u.s.w.; Gesetzeskunde"
125,Der praktische Kaufmann / Bd. 3 = Teil 4. Rechenkunde,1930,Der praktische Kaufmann / Bd.  = Teil . Rechenkunde
126,Der schwarze Temperguss,1930,Der schwarze Temperguss
127,Der Temperguß,1930,Der Temperguß
128,Der Temperguß,1930,Der Temperguß
129,Der Verlauf der Staublungenerkrankung bei den Gesteinshauern des Ruhrkohlengebietes,1930,Der Verlauf der Staublungenerkrankung bei den Gesteinshauern des Ruhrkohlengebietes
130,Der Verlauf der Staublungenerkrankung bei den Gesteinshauern des Ruhrkohlengebietes,1930,Der Verlauf der Staublungenerkrankung bei den Gesteinshauern des Ruhrkohlengebietes
131,Der Vitamingehalt der deutschen Nahrungsmittel,1930,Der Vitamingehalt der deutschen Nahrungsmittel
132,Der Vitamingehalt der deutschen Nahrungsmittel,1930,Der Vitamingehalt der deutschen Nahrungsmittel
137,Der Wasserbau,1930,Der Wasserbau
138,Der Wurzeltöter der Kartoffel,1930,Der Wurzeltöter der Kartoffel
139,Deutsch-russische Syphilis-Expedition 1928,1928,Deutsch-russische Syphilis-Expedition 
140,Deutschlands Volksernährung,1930,Deutschlands Volksernährung
141,Deutschlands Volksernährung,1930,Deutschlands Volksernährung
142,Die Anatomischen Namen,1930,Die Anatomischen Namen
143,Die Aphelenchen der Kulturpflanzen,1930,Die Aphelenchen der Kulturpflanzen
144,Die Arten der Schlaganfälle des Gehirns und ihre Entstehung,1930,Die Arten der Schlaganfälle des Gehirns und ihre Entstehung
145,Die Arten der Schlaganfälle des Gehirns und ihre Entstehung,1930,Die Arten der Schlaganfälle des Gehirns und ihre Entstehung
146,Die Auskühlung gerader und zylindrisch gekrümmter Wände aus dem stationären Zustand heraus sowie die Anheizung derselben bei Zuführung einer konstanten Heizleistung,1930,Die Auskühlung gerader und zylindrisch gekrümmter Wände aus dem stationären Zustand heraus sowie die Anheizung derselben bei Zuführung einer konstanten Heizleistung
147,Die Avertinnarkose in der Chirurgie,1930,Die Avertinnarkose in der Chirurgie
148,Die Avertinnarkose in der Chirurgie,1930,Die Avertinnarkose in der Chirurgie
149,Die Beleuchtung von Eisenbahn-Personenwagen,1930,Die Beleuchtung von Eisenbahn-Personenwagen
150,Die Beleuchtung von Eisenbahn-Personenwagen,1930,Die Beleuchtung von Eisenbahn-Personenwagen
151,Die Berechnung der Anheizung und Auskühlung ebener und zylindrischer Wände (Häuser und Rohrleitungen),1930,Die Berechnung der Anheizung und Auskühlung ebener und zylindrischer Wände (Häuser und Rohrleitungen)
154,Die Chemie der Cerebroside und Phosphatide,1930,Die Chemie der Cerebroside und Phosphatide
155,Die Chemie der Lederfabrikation,1930,Die Chemie der Lederfabrikation
156,Die chemischen Vorgänge im Muskel und ihr Zusammenhang mit Arbeitsleistung und Wärmebildung,1930,Die chemischen Vorgänge im Muskel und ihr Zusammenhang mit Arbeitsleistung und Wärmebildung
157,Die Chronaxie der cerebral-atrophischen Muskeln,1930,Die Chronaxie der cerebral-atrophischen Muskeln
163,Die Einwirkung der Reformation auf die Organisation und Besetzung des Reichskammergerichts,1930,Die Einwirkung der Reformation auf die Organisation und Besetzung des Reichskammergerichts
167,Die Entropietafel für Luft und ihre Verwendung zur Berechnung der Kolben- und Turbo-Kompressoren,1930,Die Entropietafel für Luft und ihre Verwendung zur Berechnung der Kolben- und Turbo-Kompressoren
168,Die Entropietafel für Luft und ihre Verwendung zur Berechnung der Kolben- und Turbo-Kompressoren,1930,Die Entropietafel für Luft und ihre Verwendung zur Berechnung der Kolben- und Turbo-Kompressoren
169,Die Entzündliche Grundlage der Typischen Geschwurs Bildung im Magen und Duodenum,1930,Die Entzündliche Grundlage der Typischen Geschwurs Bildung im Magen und Duodenum
170,Die entzündlichen Erkrankungen der weiblichen Geschlechtsorgane,1930,Die entzündlichen Erkrankungen der weiblichen Geschlechtsorgane
171,Die Erkrankungen der Scheide,1930,Die Erkrankungen der Scheide
172,Die Erkrankungen der Scheide,1930,Die Erkrankungen der Scheide
173,Die Fernsprechanlagen in ihrem wirtschaftlichen Aufbau,1930,Die Fernsprechanlagen in ihrem wirtschaftlichen Aufbau
174,Die Fliegenplage und ihre Bekämpfung,1930,Die Fliegenplage und ihre Bekämpfung
175,Die Fliegenplage und ihre Bekämpfung,1930,Die Fliegenplage und ihre Bekämpfung
176,Die Gasbehandlung Bösartiger Geschwülste,1930,Die Gasbehandlung Bösartiger Geschwülste
177,Die Gasbehandlung Bösartiger Geschwülste,1930,Die Gasbehandlung Bösartiger Geschwülste
178,Die Grundlagen der Abgasführung bei Gasfeuerstätten,1930,Die Grundlagen der Abgasführung bei Gasfeuerstätten
179,Die Herstellung roher Schrauben,1930,Die Herstellung roher Schrauben
180,Die Hypertoniekrankheiten,1930,Die Hypertoniekrankheiten
181,Die Jute,1930,Die Jute
182,Die Katte-Tragödie,1930,Die Katte-Tragödie
183,Die Klinik der Tuberkulose Erwachsener,1930,Die Klinik der Tuberkulose Erwachsener
184,"Die Kraftwirtschaft, Band 1",1930,"Die Kraftwirtschaft, Band "
185,Die Krankheiten der Orbita. Pulsierender Exophthalmus,1930,Die Krankheiten der Orbita. Pulsierender Exophthalmus
186,Die ländliche Verfassung im Gebiete der ehemaligen Obergrafschaft Katzenelenbogen während des 18. und zu Beginn des 19. Jahrhunderts,1930,Die ländliche Verfassung im Gebiete der ehemaligen Obergrafschaft Katzenelenbogen während des . und zu Beginn des . Jahrhunderts
187,Die Landschaft Davos,1930,Die Landschaft Davos
188,Die maschinentechnischen Bauformen und das Skizzieren in Perspektive,1930,Die maschinentechnischen Bauformen und das Skizzieren in Perspektive
189,Die Milch,1930,Die Milch
190,Die Milchproduktion,1930,Die Milchproduktion
191,Die Milchversorgung der Städte und Grösseren Konsumorte,1930,Die Milchversorgung der Städte und Grösseren Konsumorte
192,Die modernen Zierschriften in der Schule,1930,Die modernen Zierschriften in der Schule
193,Die Nordischen Wasserkräfte,1930,Die Nordischen Wasserkräfte
194,Die Operative Behandlung der Gastroptose und Deren Erfolge,1930,Die Operative Behandlung der Gastroptose und Deren Erfolge
195,Die optischen Instrumente,1930,Die optischen Instrumente
196,Die optischen Instrumente,1930,Die optischen Instrumente
197,Die Organisation und Kostenrechnung einer Goldwarenfabrik,1930,Die Organisation und Kostenrechnung einer Goldwarenfabrik
198,Die Personenfahrpreise der englischen Eisenbahnen,1930,Die Personenfahrpreise der englischen Eisenbahnen
199,Die Physikalische Beschaffenheit des Bodens,1930,Die Physikalische Beschaffenheit des Bodens
200,Die physikalische Therapie in der Gynäkologie,1930,Die physikalische Therapie in der Gynäkologie
201,Die physikalische Therapie in der Gynäkologie,1930,Die physikalische Therapie in der Gynäkologie
202,Die Praxis der Baumwollwaren-Appretur,1930,Die Praxis der Baumwollwaren-Appretur
203,Die quantitative Gerbmittelanalyse,1930,Die quantitative Gerbmittelanalyse
204,Die Relaissteuerungen der modernen Starkstromtechnik,1930,Die Relaissteuerungen der modernen Starkstromtechnik
205,Die Relaissteuerungen der modernen Starkstromtechnik,1930,Die Relaissteuerungen der modernen Starkstromtechnik
206,Die Säuglingsernährung,1930,Die Säuglingsernährung
207,Die Spinnerei in technologischer Darstellung,1930,Die Spinnerei in technologischer Darstellung
208,Die Strichprobe der Edelmetalle,1930,Die Strichprobe der Edelmetalle
209,Die Tuberkulose der Knochen und Gelenke,1930,Die Tuberkulose der Knochen und Gelenke
213,[Velde] ,1930,[Velde] 
214,Die wirtschaftlich günstigsten Rohrweiten,1930,Die wirtschaftlich günstigsten Rohrweiten
215,Dispersoidanalytische Untersuchung von Zahnpasten und -Pulvern und Ihre Praktische Bedeutung,1930,Dispersoidanalytische Untersuchung von Zahnpasten und -Pulvern und Ihre Praktische Bedeutung
216,Dispersoidanalytische Untersuchung von Zahnpasten und -Pulvern und Ihre Praktische Bedeutung,1930,Dispersoidanalytische Untersuchung von Zahnpasten und -Pulvern und Ihre Praktische Bedeutung
217,"Dr. A. Landolt A. G., Zofingen",1930,"Dr. A. Landolt A. G., Zofingen"
218,Drucksache / Nr. 34. Bericht über die XIX. Hauptversammlung des Preußischen Feuerwehr-Beirats am 30. u. 31. Mai 1930 zu Kiel,1930,Drucksache / Nr. . Bericht über die XIX. Hauptversammlung des Preußischen Feuerwehr-Beirats am . u. . Mai  zu Kiel
219,Eigenschaften und Herstellung von Furnier und Sperrholz,1930,Eigenschaften und Herstellung von Furnier und Sperrholz
220,Ein Pyrenäenbuch,1930,Ein Pyrenäenbuch
221,Eine Stunde Druckgestaltung,1930,Eine Stunde Druckgestaltung
222,Eine vergleichende Schalt- und Getriebelehre,1930,Eine vergleichende Schalt- und Getriebelehre
223,Einführung in die Abteilung Seelische Hygiene (Gruppe Gesundes Seelenleben),1930,Einführung in die Abteilung Seelische Hygiene (Gruppe Gesundes Seelenleben)
224,Einführung in die technische Behandlung gasförmiger Stoffe,1930,Einführung in die technische Behandlung gasförmiger Stoffe
225,Einzelmöbel und neuzeitliche Raumkunst,1930,Einzelmöbel und neuzeitliche Raumkunst
226,Eisenguß in Dauerformen,1930,Eisenguß in Dauerformen
227,Eisenguß in Dauerformen,1930,Eisenguß in Dauerformen
228,Eiserne Gittermaste für Starkstrom-Freileitungen,1930,Eiserne Gittermaste für Starkstrom-Freileitungen
229,Eiserne Gittermaste für Starkstrom-Freileitungen,1930,Eiserne Gittermaste für Starkstrom-Freileitungen
230,Elektrothermie,1930,Elektrothermie
231,Energiewirtschaft,1930,Energiewirtschaft
232,Entwicklungsstadien des Rheinisch-Deutschen Kaltblutpferdes,1930,Entwicklungsstadien des Rheinisch-Deutschen Kaltblutpferdes
233,Entwicklungsstadien des Rheinisch-Deutschen Kaltblutpferdes,1930,Entwicklungsstadien des Rheinisch-Deutschen Kaltblutpferdes
234,Enzyklopädie der textilchemischen Technologie,1930,Enzyklopädie der textilchemischen Technologie
235,Erfindungen und Fortschritte / Bd. 1. Die Eroberung der Erde,1930,Erfindungen und Fortschritte / Bd. . Die Eroberung der Erde
240,Erkennung der Tierkrankheiten und deren Behandlung,1930,Erkennung der Tierkrankheiten und deren Behandlung
241,"Erläuterungen zu den Regeln für die Bewertung und Prüfung von elektrischen Maschinen R.E.M./1930, Transformatoren R.E.T./1930 und Maschinen und Transformatoren auf Bahn- und anderen Fahrzeugen R.E.B./1930 sowie zu den Normalen Anschlußbedingungen und den Normalen Klemmen-Bezeichnungen",1930,"Erläuterungen zu den Regeln für die Bewertung und Prüfung von elektrischen Maschinen R.E.M./, Transformatoren R.E.T./ und Maschinen und Transformatoren auf Bahn- und anderen Fahrzeugen R.E.B./ sowie zu den Normalen Anschlußbedingungen und den Normalen Klemmen-Bezeichnungen"
242,"Erläuterungen zu den Regeln für die Bewertung und Prüfung von elektrischen Maschinen R.E.M./1930, Transformatoren R.E.T./1930 und Maschinen und Transformatoren auf Bahn- und anderen Fahrzeugen R.E.B./1930 sowie zu den Normalen Anschlußbedingungen und den Normalen Klemmen-Bezeichnungen",1930,"Erläuterungen zu den Regeln für die Bewertung und Prüfung von elektrischen Maschinen R.E.M./, Transformatoren R.E.T./ und Maschinen und Transformatoren auf Bahn- und anderen Fahrzeugen R.E.B./ sowie zu den Normalen Anschlußbedingungen und den Normalen Klemmen-Bezeichnungen"
243,Erläuterungen zu den Vorschriften für die Errichtung von Starkstromanlagen mit Betriebspannungen unter 1000 V,1930,Erläuterungen zu den Vorschriften für die Errichtung von Starkstromanlagen mit Betriebspannungen unter  V
244,Ernährung · Diätküchen · Kostformen,1930,Ernährung · Diätküchen · Kostformen
245,Ernährung und Pflege Des Säglings,1930,Ernährung und Pflege Des Säglings
246,E. von Esmarchs Hygienisches Taschenbuch,1930,E. von Esmarchs Hygienisches Taschenbuch
247,E. von Esmarch&lt;Superscript&gt;s&lt;Superscript&gt; Hygienisches Taschenbuch,1930,E. von Esmarch&lt;Superscript&gt;s&lt;Superscript&gt; Hygienisches Taschenbuch
248,Experimentelle Untersuchungen an schnellaufenden Kleinmotoren unter besonderer Berücksichtigung des Ausspülverlustes bei Zweitakt-Gemischmaschinen,1930,Experimentelle Untersuchungen an schnellaufenden Kleinmotoren unter besonderer Berücksichtigung des Ausspülverlustes bei Zweitakt-Gemischmaschinen
249,Explorationsgespräche zur Erforschung des Denkens schwachsinniger Kinder,1930,Explorationsgespräche zur Erforschung des Denkens schwachsinniger Kinder
250,Fabrikationsmethoden für Galenische Arzneimittel und Arzneiformen,1930,Fabrikationsmethoden für Galenische Arzneimittel und Arzneiformen
251,Farben für sämtliche graphischen Zwecke,1902,Farben für sämtliche graphischen Zwecke
252,Farbige Durchschlagpapiere,1930,Farbige Durchschlagpapiere
253,Feste mit Kindern,1930,Feste mit Kindern
254,Festschrift zum 10 Jährigen Bestehen der Bremischen Heilstätte Niedersachsen in Mölln (Lbg.),1930,Festschrift zum  Jährigen Bestehen der Bremischen Heilstätte Niedersachsen in Mölln (Lbg.)
255,Festschrift zum 10 Jährigen Bestehen der Bremischen Heilstätte Niedersachsen in Mölln (Lbg.),1930,Festschrift zum  Jährigen Bestehen der Bremischen Heilstätte Niedersachsen in Mölln (Lbg.)
256,Forschung im Ingenieurwesen,NA,Forschung im Ingenieurwesen
257,Forschung und Technik,1930,Forschung und Technik
258,Forschung und Technik,1930,Forschung und Technik
259,Freytags Hilfsbuch für den Maschinenbau für Maschineningenieure sowie für den Unterricht an technischen Lehranstalten,1930,Freytags Hilfsbuch für den Maschinenbau für Maschineningenieure sowie für den Unterricht an technischen Lehranstalten
260,Geburtshilflicher Phantomkurs in Frage und Antwort,1930,Geburtshilflicher Phantomkurs in Frage und Antwort
261,Gefässhaut · Linse Glaskörper · Netƶhaut Papille und Opticus,1930,Gefässhaut · Linse Glaskörper · Netƶhaut Papille und Opticus
262,Gefässhaut · Linse Glaskörper · Netƶhaut Papille und Opticus,1930,Gefässhaut · Linse Glaskörper · Netƶhaut Papille und Opticus
263,Geschäftsbücher-Preisliste / No. 2,1930,Geschäftsbücher-Preisliste / No. 
264,Geschlechtskrankheiten und ihre Behandlung,1930,Geschlechtskrankheiten und ihre Behandlung
265,Gesundheit ist Lebensglück,1930,Gesundheit ist Lebensglück
266,Gesundheit ist Lebensglück,1930,Gesundheit ist Lebensglück
267,Gewebsproliferation und Säurebasengleichgewicht,1930,Gewebsproliferation und Säurebasengleichgewicht
268,Gonorrhöe,1930,Gonorrhöe
269,Grundlagen der Koks-Chemie,1930,Grundlagen der Koks-Chemie
270,"Grundlagen für den Entwurf von Braunkohlenbrikettfabriken und Möglichkeiten zur Verbesserung ihrer Energieerzeugung, Wärmewirtschaft und Leistungsfähigkeit",1930,"Grundlagen für den Entwurf von Braunkohlenbrikettfabriken und Möglichkeiten zur Verbesserung ihrer Energieerzeugung, Wärmewirtschaft und Leistungsfähigkeit"
271,Grundriss der Augenheilkunde,1930,Grundriss der Augenheilkunde
272,Grundriss der Augenheilkunde,1930,Grundriss der Augenheilkunde
273,Grundzüge der Zählertechnik,1930,Grundzüge der Zählertechnik
274,Haarfarben und Haarfärbung,1930,Haarfarben und Haarfärbung
275,Härten und Vergüten,1930,Härten und Vergüten
276,Handbuch der Landmaschinentechnik,1930,Handbuch der Landmaschinentechnik
277,Handbuch der normalen und pathologischen Physiologie,1930,Handbuch der normalen und pathologischen Physiologie
278,Handbuch der Wasserversorgung,1930,Handbuch der Wasserversorgung
279,Handbuch der Westküste von Hindustan,1930,Handbuch der Westküste von Hindustan
280,Handbuch Loewe-Normalien,1930,Handbuch Loewe-Normalien
281,Harn- und Geschlechtsapparat,1930,Harn- und Geschlechtsapparat
282,Harn- und Geschlechtsapparat,1930,Harn- und Geschlechtsapparat
283,Hilfsbuch für Betriebsberechnungen,1930,Hilfsbuch für Betriebsberechnungen
284,Hilfsbuch für Betriebsberechnungen,1930,Hilfsbuch für Betriebsberechnungen
285,Histamin,1930,Histamin
286,Historische Studien und Skizzen zu Natur- und Heilwissenschaft,1930,Historische Studien und Skizzen zu Natur- und Heilwissenschaft
287,Hoffmanns Schriftatlas,1930,Hoffmanns Schriftatlas
288,H. Rietschels Leitfaden der Heiz- und Lüftungstechnik,1930,H. Rietschels Leitfaden der Heiz- und Lüftungstechnik
289,Hygienisches Taschenbuch,1930,Hygienisches Taschenbuch
290,"""Ich bitte ums Wort zur Geschäftsordnung!""",1930,"""Ich bitte ums Wort zur Geschäftsordnung!"""
291,Illustrierter Führer durch Dubrovnik (Ragusa) und Umgebung mit einem Ausflug nach Trebinje (Hercegovina),1930,Illustrierter Führer durch Dubrovnik (Ragusa) und Umgebung mit einem Ausflug nach Trebinje (Hercegovina)
292,Ingenieur und Wirtschaft: Der Wirtschafts-Ingenieur,1930,Ingenieur und Wirtschaft: Der Wirtschafts-Ingenieur
293,Ingenieur und Wirtschaft: Der Wirtschafts-Ingenieur,1930,Ingenieur und Wirtschaft: Der Wirtschafts-Ingenieur
294,International archives of occupational and environmental health,NA,International archives of occupational and environmental health
296,Jo. Bapt. van Helmont,1930,Jo. Bapt. van Helmont
297,Kassel und Wilhelmshöhe,1930,Kassel und Wilhelmshöhe
298,[Katalog] / Bd. 1. Papier,1930,[Katalog] / Bd. . Papier
299,[Katalog] / Bd. 2. Karton,1930,[Katalog] / Bd. . Karton
300,Kaufmännisches Rechnen für Praxis und Selbstunterricht,1930,Kaufmännisches Rechnen für Praxis und Selbstunterricht
301,Kleine Chronik von dem alten Burgschlosse Schönburg und dem Dorfe Kroppen,1930,Kleine Chronik von dem alten Burgschlosse Schönburg und dem Dorfe Kroppen
302,Kleine Chronik von dem alten Burgschlosse Schönburg und dem Dorfe Kroppen,1930,Kleine Chronik von dem alten Burgschlosse Schönburg und dem Dorfe Kroppen
303,Kohlenstaubfeuerungen,1930,Kohlenstaubfeuerungen
304,Kosmetische Winke,1930,Kosmetische Winke
305,Krampfadern,1930,Krampfadern
306,Krampfadern,1930,Krampfadern
307,Kreiselmaschinen,1930,Kreiselmaschinen
310,Kritische Untersuchung der Entwickelung der Dauerformverfahren für Eisenguß und ihrer betriebsmäßigen Anwendung,1930,Kritische Untersuchung der Entwickelung der Dauerformverfahren für Eisenguß und ihrer betriebsmäßigen Anwendung
311,Kritische Untersuchung der Entwickelung der Dauerformverfahren für Eisenguß und ihrer betriebsmäßigen Anwendung,1930,Kritische Untersuchung der Entwickelung der Dauerformverfahren für Eisenguß und ihrer betriebsmäßigen Anwendung
312,Künstliche Holztrocknung,1930,Künstliche Holztrocknung
313,Künstliche Holztrocknung,1930,Künstliche Holztrocknung
314,Kurzes Handbuch der Ophthalmologie,1930,Kurzes Handbuch der Ophthalmologie
315,Kurzes Handbuch der Ophthalmologie,1930,Kurzes Handbuch der Ophthalmologie
316,Kurƶes Handbuch der Ophthalmologie,1930,Kurƶes Handbuch der Ophthalmologie
317,Landwirtschaftliche Betriebsverhältnisse in Baden / H. 4. 1928/29,1928,Landwirtschaftliche Betriebsverhältnisse in Baden / H. . /
318,Leber,1930,Leber
319,Lehrbuch der Chirurgie,1930,Lehrbuch der Chirurgie
320,Lehrbuch der Chirurgie,1930,Lehrbuch der Chirurgie
